[   25.2s] linattn  d=  32 N=  4 seed=0 acc=0.275 steps=2000 (25.2s, 28k params)
[   56.4s] linattn  d=  32 N=  8 seed=0 acc=0.165 steps=2000 (31.2s, 28k params)
[   82.1s] linattn  d=  64 N=  4 seed=0 acc=0.998 steps=1750 (25.7s, 89k params)
[  128.7s] linattn  d=  64 N=  8 seed=0 acc=0.175 steps=2000 (46.5s, 89k params)
[  160.5s] linattn  d= 128 N=  4 seed=0 acc=0.999 steps=1250 (31.8s, 309k params)
[  242.4s] linattn  d= 128 N=  8 seed=0 acc=0.975 steps=2000 (81.9s, 309k params)
[  252.8s] taylor   d=  32 N=  4 seed=0 acc=0.995 steps=1000 (10.5s, 28k params)
[  280.4s] taylor   d=  32 N=  8 seed=0 acc=0.165 steps=2000 (27.6s, 28k params)
[  331.6s] taylor   d=  32 N= 16 seed=0 acc=0.103 steps=2000 (51.1s, 28k params)
[  497.7s] taylor   d=  32 N= 32 seed=0 acc=0.057 steps=2000 (166.1s, 28k params)
[  504.9s] taylor   d=  64 N=  4 seed=0 acc=0.997 steps=500 (7.2s, 89k params)
[  515.9s] taylor   d=  64 N=  8 seed=0 acc=0.998 steps=500 (11.0s, 89k params)
[  602.1s] taylor   d=  64 N= 16 seed=0 acc=0.119 steps=2000 (86.2s, 89k params)
[  796.6s] taylor   d=  64 N= 32 seed=0 acc=0.078 steps=2000 (194.5s, 89k params)
[  809.5s] taylor   d= 128 N=  4 seed=0 acc=1.000 steps=500 (12.9s, 309k params)
[  827.8s] taylor   d= 128 N=  8 seed=0 acc=1.000 steps=500 (18.3s, 309k params)
[  877.8s] taylor   d= 128 N= 16 seed=0 acc=0.999 steps=750 (50.0s, 309k params)
[ 1171.5s] taylor   d= 128 N= 32 seed=0 acc=0.079 steps=2000 (293.7s, 309k params)
[ 1236.4s] attn     d=  32 N= 32 seed=0 acc=0.064 steps=2000 (64.9s, 28k params)
[ 1352.4s] attn     d=  64 N= 32 seed=0 acc=0.076 steps=2000 (116.0s, 89k params)
[ 1470.4s] attn     d= 128 N= 32 seed=0 acc=1.000 steps=1000 (118.0s, 309k params)
[ 1776.7s] LONG linattn  d=  32 N=  8 acc=0.161 steps=20000 (306.3s)
[ 2281.8s] LONG linattn  d=  64 N=  8 acc=0.823 steps=20000 (505.1s)
Taylor frontier (max N, acc>=0.9) d=32/64/128: 4/8/16  (elu+1 was 2-4 across all d)   |   10x-budget elu+1 N=8: d32=0.16 d64=0.82
